Transaction ID,Date,Product ID,Product Name,Product Type,Quantity Sold,Unit Price,Total Sales Amount,Customer ID,Customer Age,Customer Gender,Customer Location,Payment Method,Discount Applied
T4933,11-01-2018,P008,Fish Oil Capsules,Supplement,5,18,90,C4933,40,Female,San Francisco,Mobile Payment,15%
T0407,11-01-2018,P029,Zinc Supplement,Supplement,4,10,40,C0407,60,Female,Denver,Cash,5%
T3344,12-01-2018,P037,Natural Deodorant,Hygiene,5,9,45,C3344,31,Female,Houston,Mobile Payment,15%
T1430,12-01-2018,P010,Lip Balm,Skincare,3,7,21,C1430,32,Female,Miami,Credit Card,5%
T3855,12-01-2018,P010,Lip Balm,Skincare,1,7,7,C3855,59,Male,Boston,Debit Card,5%
T3736,12-01-2018,P002,Multivitamin Tablet,Supplement,4,15,60,C3736,56,Female,Denver,Mobile Payment,10%
T2435,12-01-2018,P023,Acne Treatment Gel,Skincare,4,16,64,C2435,22,Female,Miami,Debit Card,5%
T3805,12-01-2018,P046,Sunblock Cream,Skincare,4,20,80,C3805,55,Male,Seattle,Mobile Payment,15%
T2227,12-01-2018,P043,Pain Relief Patch,Medicine,3,7,21,C2227,48,Male,Seattle,Debit Card,10%
T0272,13-01-2018,P048,Hydrocortisone Cream,Medicine,5,5,25,C0272,52,Male,Denver,Cash,0%
T4095,14-01-2018,P009,Antibacterial Handwash,Hygiene,5,5,25,C4095,41,Female,Boston,Cash,5%
T2063,15-01-2018,P023,Acne Treatment Gel,Skincare,3,16,48,C2063,37,Female,Chicago,Mobile Payment,10%
T2861,15-01-2018,P029,Zinc Supplement,Supplement,3,10,30,C2861,37,Female,Los Angeles,Debit Card,10%
T4367,15-01-2018,P028,Omega-3 Capsules,Supplement,4,22,88,C4367,31,Female,Houston,Mobile Payment,15%
T3320,16-01-2018,P017,Anti-Dandruff Shampoo,Haircare,5,14,70,C3320,28,Male,Boston,Credit Card,10%
T2138,17-01-2018,P024,Collagen Powder,Supplement,4,30,120,C2138,44,Male,Denver,Debit Card,15%
T3577,18-01-2018,P008,Fish Oil Capsules,Supplement,5,18,90,C3577,33,Female,San Francisco,Credit Card,5%
T4993,18-01-2018,P017,Anti-Dandruff Shampoo,Haircare,1,14,14,C4993,51,Female,Chicago,Mobile Payment,10%
T3881,18-01-2018,P038,Liver Health Supplement,Supplement,5,20,100,C3881,32,Male,Houston,Credit Card,5%
T2384,19-01-2018,P049,Antifungal Powder,Medicine,1,10,10,C2384,47,Female,New York,Credit Card,5%
T4439,21-01-2018,P042,Green Tea Capsules,Supplement,4,10,40,C4439,57,Male,Chicago,Credit Card,10%
T3272,22-01-2018,P002,Multivitamin Tablet,Supplement,4,15,60,C3272,21,Female,San Francisco,Credit Card,10%
T3691,23-01-2018,P024,Collagen Powder,Supplement,5,30,150,C3691,51,Male,Houston,Debit Card,15%
T1399,23-01-2018,P040,Hair Conditioner,Haircare,3,13,39,C1399,23,Female,Houston,Mobile Payment,5%
T3552,23-01-2018,P036,Tea Tree Oil,Skincare,3,12,36,C3552,29,Female,Denver,Debit Card,10%
T1234,24-01-2018,P025,Eye Drops,Medicine,3,12,36,C1234,46,Male,Los Angeles,Cash,0%
T0880,24-01-2018,P004,Anti-Allergy Cream,Skincare,4,25,100,C0880,51,Male,Los Angeles,Credit Card,0%
T2738,25-01-2018,P001,Pain Relief Capsule,Medicine,4,10,40,C2738,54,Female,San Francisco,Mobile Payment,0%
T4617,25-01-2018,P033,Foot Cream,Skincare,2,15,30,C4617,27,Female,Denver,Cash,15%
T2318,25-01-2018,P022,Toothpaste,Hygiene,2,4,8,C2318,47,Male,New York,Debit Card,0%
T4914,25-01-2018,P050,Ear Drops,Medicine,5,6,30,C4914,54,Male,San Francisco,Debit Card,15%
T0803,27-01-2018,P003,Cold Syrup,Medicine,1,8,8,C0803,48,Female,Los Angeles,Cash,5%
T1810,27-01-2018,P011,Herbal Shampoo,Haircare,2,12,24,C1810,43,Female,San Francisco,Cash,0%
T0568,28-01-2018,P017,Anti-Dandruff Shampoo,Haircare,5,14,70,C0568,59,Female,Chicago,Cash,0%
T0646,29-01-2018,P040,Hair Conditioner,Haircare,3,13,39,C0646,32,Female,Chicago,Mobile Payment,10%
T4909,30-01-2018,P012,Organic Face Wash,Skincare,3,10,30,C4909,18,Female,Denver,Mobile Payment,0%
T3415,31-01-2018,P017,Anti-Dandruff Shampoo,Haircare,5,14,70,C3415,40,Female,Denver,Cash,5%
T1304,31-01-2018,P023,Acne Treatment Gel,Skincare,4,16,64,C1304,51,Female,Chicago,Debit Card,10%
T2549,01-02-2018,P042,Green Tea Capsules,Supplement,3,10,30,C2549,35,Male,Boston,Mobile Payment,10%
T2393,01-02-2018,P006,Cough Drops,Medicine,4,2.5,10,C2393,51,Male,Seattle,Credit Card,10%
T4235,02-02-2018,P022,Toothpaste,Hygiene,1,4,4,C4235,63,Female,Houston,Debit Card,10%
T2932,04-02-2018,P024,Collagen Powder,Supplement,4,30,120,C2932,25,Male,Chicago,Credit Card,10%
T1423,04-02-2018,P022,Toothpaste,Hygiene,3,4,12,C1423,35,Male,New York,Credit Card,10%
T3589,05-02-2018,P004,Anti-Allergy Cream,Skincare,3,25,75,C3589,35,Female,Denver,Credit Card,15%
T2577,05-02-2018,P029,Zinc Supplement,Supplement,2,10,20,C2577,45,Female,Houston,Debit Card,15%
T2462,05-02-2018,P041,Digestive Enzymes,Supplement,1,18,18,C2462,50,Male,Miami,Mobile Payment,15%
T4712,05-02-2018,P034,Hair Growth Serum,Haircare,1,28,28,C4712,22,Male,New York,Cash,0%
T0335,06-02-2018,P001,Pain Relief Capsule,Medicine,4,10,40,C0335,65,Male,San Francisco,Mobile Payment,0%
T3074,07-02-2018,P016,Energy Drink,Beverage,2,5,10,C3074,50,Female,San Francisco,Credit Card,5%
T3526,07-02-2018,P037,Natural Deodorant,Hygiene,2,9,18,C3526,38,Female,San Francisco,Debit Card,0%
T3694,07-02-2018,P009,Antibacterial Handwash,Hygiene,1,5,5,C3694,35,Male,New York,Credit Card,15%
T1235,08-02-2018,P001,Pain Relief Capsule,Medicine,3,10,30,C1235,62,Male,Boston,Debit Card,10%
T1648,09-02-2018,P031,Hydration Powder,Nutrition,3,7,21,C1648,46,Male,Denver,Debit Card,10%
T1187,10-02-2018,P030,Heart Health Supplement,Supplement,5,35,175,C1187,27,Male,Chicago,Credit Card,15%
T2262,10-02-2018,P045,Vitamin C Serum,Skincare,4,25,100,C2262,21,Male,Boston,Debit Card,10%
T1351,10-02-2018,P007,Diabetic Test Strips,Medical Equipment,5,50,250,C1351,61,Female,Boston,Mobile Payment,15%
T2797,10-02-2018,P012,Organic Face Wash,Skincare,4,10,40,C2797,57,Female,Seattle,Debit Card,5%
T2578,10-02-2018,P008,Fish Oil Capsules,Supplement,1,18,18,C2578,38,Male,San Francisco,Mobile Payment,15%
T1737,11-02-2018,P041,Digestive Enzymes,Supplement,3,18,54,C1737,39,Male,New York,Cash,10%
T3425,12-02-2018,P002,Multivitamin Tablet,Supplement,2,15,30,C3425,21,Male,Los Angeles,Debit Card,15%
T0369,12-02-2018,P013,Probiotic Supplement,Supplement,3,20,60,C0369,44,Male,Houston,Debit Card,0%
T3960,12-02-2018,P017,Anti-Dandruff Shampoo,Haircare,4,14,56,C3960,23,Male,Denver,Cash,15%
T4765,13-02-2018,P049,Antifungal Powder,Medicine,1,10,10,C4765,31,Female,Chicago,Mobile Payment,0%
T1969,13-02-2018,P010,Lip Balm,Skincare,5,7,35,C1969,41,Male,Denver,Cash,15%
T4191,14-02-2018,P015,Protein Powder,Nutrition,1,25,25,C4191,45,Female,Boston,Debit Card,5%
T1183,14-02-2018,P049,Antifungal Powder,Medicine,5,10,50,C1183,56,Male,Houston,Debit Card,10%
T3055,14-02-2018,P035,Anti-Wrinkle Cream,Skincare,4,45,180,C3055,62,Female,San Francisco,Debit Card,5%
T3114,15-02-2018,P001,Pain Relief Capsule,Medicine,2,10,20,C3114,46,Male,Houston,Credit Card,10%
T3580,15-02-2018,P037,Natural Deodorant,Hygiene,4,9,36,C3580,28,Male,Boston,Credit Card,10%
T0201,16-02-2018,P035,Anti-Wrinkle Cream,Skincare,1,45,45,C0201,49,Male,Houston,Debit Card,5%
T4427,16-02-2018,P020,Elderberry Syrup,Medicine,4,22,88,C4427,54,Male,Miami,Cash,15%
T2356,16-02-2018,P007,Diabetic Test Strips,Medical Equipment,3,50,150,C2356,20,Male,Houston,Debit Card,5%
T0359,16-02-2018,P042,Green Tea Capsules,Supplement,2,10,20,C0359,35,Female,San Francisco,Credit Card,15%
T0009,17-02-2018,P003,Cold Syrup,Medicine,5,8,40,C0009,18,Male,San Francisco,Mobile Payment,10%
T1763,18-02-2018,P028,Omega-3 Capsules,Supplement,2,22,44,C1763,46,Male,Boston,Mobile Payment,0%
T4070,18-02-2018,P032,Caffeine Pills,Supplement,2,5,10,C4070,19,Male,San Francisco,Mobile Payment,5%
T0265,20-02-2018,P033,Foot Cream,Skincare,2,15,30,C0265,51,Male,Boston,Cash,10%
T4720,21-02-2018,P013,Probiotic Supplement,Supplement,5,20,100,C4720,28,Male,Denver,Mobile Payment,15%
T1792,21-02-2018,P004,Anti-Allergy Cream,Skincare,3,25,75,C1792,21,Female,Seattle,Credit Card,0%
T3183,22-02-2018,P015,Protein Powder,Nutrition,2,25,50,C3183,36,Male,Los Angeles,Mobile Payment,15%
T2717,22-02-2018,P034,Hair Growth Serum,Haircare,1,28,28,C2717,26,Female,San Francisco,Cash,10%
T2612,23-02-2018,P027,All-Purpose Ointment,Medicine,2,6,12,C2612,52,Male,Los Angeles,Mobile Payment,10%
T3934,23-02-2018,P011,Herbal Shampoo,Haircare,2,12,24,C3934,55,Female,Chicago,Cash,5%
T2466,25-02-2018,P043,Pain Relief Patch,Medicine,3,7,21,C2466,41,Female,New York,Debit Card,10%
T2638,26-02-2018,P035,Anti-Wrinkle Cream,Skincare,3,45,135,C2638,63,Male,Miami,Debit Card,5%
T1657,26-02-2018,P010,Lip Balm,Skincare,3,7,21,C1657,54,Female,Seattle,Credit Card,15%
T3098,26-02-2018,P040,Hair Conditioner,Haircare,4,13,52,C3098,57,Female,Seattle,Mobile Payment,10%
T3341,27-02-2018,P041,Digestive Enzymes,Supplement,3,18,54,C3341,49,Male,Denver,Credit Card,10%
T4940,27-02-2018,P001,Pain Relief Capsule,Medicine,1,10,10,C4940,44,Female,New York,Debit Card,5%
T2670,27-02-2018,P018,Moisturizing Lotion,Skincare,5,18,90,C2670,29,Male,Los Angeles,Mobile Payment,10%
T1567,27-02-2018,P019,Aloe Vera Gel,Skincare,2,8,16,C1567,57,Male,Denver,Debit Card,0%
T3324,28-02-2018,P019,Aloe Vera Gel,Skincare,4,8,32,C3324,40,Female,New York,Mobile Payment,0%
T0302,01-03-2018,P019,Aloe Vera Gel,Skincare,2,8,16,C0302,64,Male,Los Angeles,Mobile Payment,0%
T0361,01-03-2018,P029,Zinc Supplement,Supplement,4,10,40,C0361,43,Male,Miami,Debit Card,5%
T3165,02-03-2018,P003,Cold Syrup,Medicine,4,8,32,C3165,26,Male,Chicago,Debit Card,5%
T4214,02-03-2018,P029,Zinc Supplement,Supplement,1,10,10,C4214,57,Male,Miami,Cash,15%
T4433,04-03-2018,P022,Toothpaste,Hygiene,4,4,16,C4433,55,Male,Chicago,Cash,15%
T2683,04-03-2018,P038,Liver Health Supplement,Supplement,1,20,20,C2683,55,Female,Denver,Debit Card,15%
T4307,04-03-2018,P046,Sunblock Cream,Skincare,2,20,40,C4307,44,Male,Los Angeles,Debit Card,15%
T4498,04-03-2018,P048,Hydrocortisone Cream,Medicine,3,5,15,C4498,43,Male,Denver,Mobile Payment,10%
T4692,04-03-2018,P002,Multivitamin Tablet,Supplement,3,15,45,C4692,26,Male,Seattle,Debit Card,5%
T4066,04-03-2018,P038,Liver Health Supplement,Supplement,5,20,100,C4066,55,Female,Los Angeles,Credit Card,10%
T2295,05-03-2018,P031,Hydration Powder,Nutrition,3,7,21,C2295,32,Male,Miami,Debit Card,5%
T3390,07-03-2018,P041,Digestive Enzymes,Supplement,5,18,90,C3390,18,Female,Boston,Credit Card,0%
T3440,07-03-2018,P003,Cold Syrup,Medicine,2,8,16,C3440,62,Male,Seattle,Cash,5%
T1975,07-03-2018,P029,Zinc Supplement,Supplement,1,10,10,C1975,59,Female,Denver,Mobile Payment,5%
T4232,08-03-2018,P008,Fish Oil Capsules,Supplement,4,18,72,C4232,31,Female,Chicago,Mobile Payment,15%
T3818,08-03-2018,P023,Acne Treatment Gel,Skincare,1,16,16,C3818,32,Female,Los Angeles,Debit Card,10%
T0522,09-03-2018,P002,Multivitamin Tablet,Supplement,2,15,30,C0522,27,Female,Miami,Mobile Payment,5%
T0271,10-03-2018,P010,Lip Balm,Skincare,2,7,14,C0271,39,Female,San Francisco,Credit Card,10%
T2093,10-03-2018,P002,Multivitamin Tablet,Supplement,5,15,75,C2093,60,Male,Denver,Debit Card,5%
T1930,10-03-2018,P013,Probiotic Supplement,Supplement,3,20,60,C1930,20,Female,Seattle,Mobile Payment,5%
T3232,10-03-2018,P031,Hydration Powder,Nutrition,3,7,21,C3232,60,Female,Houston,Mobile Payment,0%
T0732,11-03-2018,P015,Protein Powder,Nutrition,1,25,25,C0732,18,Female,New York,Credit Card,0%
T1126,11-03-2018,P044,Joint Health Tablets,Supplement,4,32,128,C1126,19,Female,Seattle,Debit Card,0%
T3923,12-03-2018,P043,Pain Relief Patch,Medicine,2,7,14,C3923,57,Female,Miami,Debit Card,15%
T0606,12-03-2018,P043,Pain Relief Patch,Medicine,5,7,35,C0606,40,Male,Denver,Mobile Payment,5%
T4934,12-03-2018,P043,Pain Relief Patch,Medicine,5,7,35,C4934,50,Female,Miami,Cash,0%
T3877,13-03-2018,P024,Collagen Powder,Supplement,2,30,60,C3877,59,Female,Boston,Mobile Payment,0%
T1858,13-03-2018,P050,Ear Drops,Medicine,1,6,6,C1858,19,Female,Houston,Credit Card,15%
T2387,15-03-2018,P027,All-Purpose Ointment,Medicine,2,6,12,C2387,45,Male,Seattle,Cash,0%
T4917,15-03-2018,P003,Cold Syrup,Medicine,5,8,40,C4917,49,Male,Chicago,Cash,0%
T0380,15-03-2018,P013,Probiotic Supplement,Supplement,3,20,60,C0380,62,Female,Boston,Cash,5%
T2908,16-03-2018,P012,Organic Face Wash,Skincare,4,10,40,C2908,51,Female,San Francisco,Mobile Payment,10%
T4779,17-03-2018,P016,Energy Drink,Beverage,1,5,5,C4779,26,Male,Seattle,Debit Card,15%
T1418,17-03-2018,P004,Anti-Allergy Cream,Skincare,1,25,25,C1418,61,Male,New York,Debit Card,15%
T0988,18-03-2018,P050,Ear Drops,Medicine,2,6,12,C0988,53,Female,Denver,Mobile Payment,0%
T1028,18-03-2018,P011,Herbal Shampoo,Haircare,4,12,48,C1028,21,Male,San Francisco,Credit Card,5%
T0233,18-03-2018,P030,Heart Health Supplement,Supplement,1,35,35,C0233,21,Female,Denver,Mobile Payment,5%
T0667,18-03-2018,P004,Anti-Allergy Cream,Skincare,4,25,100,C0667,43,Female,Miami,Mobile Payment,5%
T2377,19-03-2018,P028,Omega-3 Capsules,Supplement,1,22,22,C2377,19,Male,Chicago,Mobile Payment,15%
T3480,19-03-2018,P024,Collagen Powder,Supplement,5,30,150,C3480,30,Male,Houston,Mobile Payment,0%
T3286,20-03-2018,P045,Vitamin C Serum,Skincare,1,25,25,C3286,41,Female,Seattle,Debit Card,5%
T0077,20-03-2018,P026,Muscle Relaxant Cream,Medicine,3,25,75,C0077,46,Male,Denver,Mobile Payment,5%
T0356,20-03-2018,P008,Fish Oil Capsules,Supplement,3,18,54,C0356,65,Male,Denver,Mobile Payment,0%
T3394,21-03-2018,P018,Moisturizing Lotion,Skincare,3,18,54,C3394,31,Male,Chicago,Credit Card,0%
T1299,21-03-2018,P036,Tea Tree Oil,Skincare,5,12,60,C1299,23,Female,Boston,Cash,15%
T1385,21-03-2018,P046,Sunblock Cream,Skincare,3,20,60,C1385,58,Female,Houston,Debit Card,0%
T4139,22-03-2018,P012,Organic Face Wash,Skincare,2,10,20,C4139,60,Male,Houston,Debit Card,0%
T4025,22-03-2018,P016,Energy Drink,Beverage,1,5,5,C4025,51,Female,Chicago,Debit Card,10%
T3547,22-03-2018,P008,Fish Oil Capsules,Supplement,5,18,90,C3547,31,Male,Chicago,Mobile Payment,15%
T1519,23-03-2018,P011,Herbal Shampoo,Haircare,5,12,60,C1519,38,Female,New York,Cash,10%
T0191,25-03-2018,P046,Sunblock Cream,Skincare,5,20,100,C0191,38,Female,Los Angeles,Credit Card,10%
T0959,26-03-2018,P010,Lip Balm,Skincare,3,7,21,C0959,51,Female,New York,Debit Card,5%
T1807,26-03-2018,P030,Heart Health Supplement,Supplement,1,35,35,C1807,23,Male,Chicago,Mobile Payment,10%
T0774,26-03-2018,P039,Nasal Spray,Medicine,4,8,32,C0774,19,Male,San Francisco,Cash,10%
T3455,27-03-2018,P007,Diabetic Test Strips,Medical Equipment,4,50,200,C3455,46,Male,Denver,Credit Card,15%
T2734,27-03-2018,P034,Hair Growth Serum,Haircare,5,28,140,C2734,47,Female,Houston,Mobile Payment,0%
T0707,27-03-2018,P041,Digestive Enzymes,Supplement,2,18,36,C0707,33,Male,Miami,Credit Card,10%
T4664,28-03-2018,P007,Diabetic Test Strips,Medical Equipment,2,50,100,C4664,56,Male,Boston,Debit Card,0%
T2343,29-03-2018,P009,Antibacterial Handwash,Hygiene,2,5,10,C2343,50,Female,Seattle,Mobile Payment,10%
T3424,29-03-2018,P011,Herbal Shampoo,Haircare,4,12,48,C3424,45,Female,New York,Cash,0%
T0835,29-03-2018,P007,Diabetic Test Strips,Medical Equipment,2,50,100,C0835,18,Male,Chicago,Cash,0%
T0340,30-03-2018,P023,Acne Treatment Gel,Skincare,5,16,80,C0340,27,Female,San Francisco,Debit Card,0%
T4573,30-03-2018,P008,Fish Oil Capsules,Supplement,3,18,54,C4573,34,Male,Denver,Mobile Payment,0%
T3125,30-03-2018,P022,Toothpaste,Hygiene,5,4,20,C3125,41,Female,Denver,Cash,5%
T2851,31-03-2018,P025,Eye Drops,Medicine,4,12,48,C2851,29,Male,Chicago,Mobile Payment,0%
T0800,31-03-2018,P016,Energy Drink,Beverage,2,5,10,C0800,43,Male,Miami,Cash,5%
T2409,31-03-2018,P015,Protein Powder,Nutrition,4,25,100,C2409,63,Female,Chicago,Mobile Payment,0%
T3759,31-03-2018,P022,Toothpaste,Hygiene,2,4,8,C3759,48,Male,San Francisco,Cash,0%
T2755,01-04-2018,P012,Organic Face Wash,Skincare,3,10,30,C2755,28,Male,Denver,Cash,15%
T0171,01-04-2018,P027,All-Purpose Ointment,Medicine,2,6,12,C0171,21,Female,New York,Credit Card,0%
T3490,02-04-2018,P035,Anti-Wrinkle Cream,Skincare,1,45,45,C3490,19,Male,Houston,Credit Card,5%
T0524,03-04-2018,P025,Eye Drops,Medicine,1,12,12,C0524,24,Female,Los Angeles,Debit Card,0%
T2381,04-04-2018,P005,Vitamin D3 Supplement,Supplement,1,12,12,C2381,21,Female,Houston,Credit Card,10%
T2107,04-04-2018,P013,Probiotic Supplement,Supplement,3,20,60,C2107,49,Male,Boston,Mobile Payment,5%
T0322,05-04-2018,P044,Joint Health Tablets,Supplement,5,32,160,C0322,32,Female,Seattle,Debit Card,15%
T0740,05-04-2018,P045,Vitamin C Serum,Skincare,2,25,50,C0740,37,Male,Los Angeles,Mobile Payment,10%
T0283,06-04-2018,P021,Hand Sanitizer,Hygiene,2,3,6,C0283,52,Female,Boston,Mobile Payment,5%
T0703,06-04-2018,P046,Sunblock Cream,Skincare,4,20,80,C0703,57,Female,Seattle,Credit Card,15%
T2112,06-04-2018,P047,Coconut Oil,Haircare,1,12,12,C2112,58,Male,Houston,Credit Card,10%
T0074,07-04-2018,P047,Coconut Oil,Haircare,4,12,48,C0074,38,Male,New York,Debit Card,15%
T2618,07-04-2018,P018,Moisturizing Lotion,Skincare,2,18,36,C2618,64,Female,Miami,Debit Card,10%
T0442,07-04-2018,P034,Hair Growth Serum,Haircare,2,28,56,C0442,54,Male,Miami,Mobile Payment,10%
T4875,08-04-2018,P041,Digestive Enzymes,Supplement,1,18,18,C4875,60,Female,Los Angeles,Mobile Payment,0%
T3731,09-04-2018,P015,Protein Powder,Nutrition,3,25,75,C3731,42,Male,Denver,Credit Card,15%
T2046,09-04-2018,P028,Omega-3 Capsules,Supplement,1,22,22,C2046,33,Female,Los Angeles,Credit Card,5%
T3268,09-04-2018,P003,Cold Syrup,Medicine,5,8,40,C3268,21,Female,Miami,Mobile Payment,0%
T0730,09-04-2018,P035,Anti-Wrinkle Cream,Skincare,5,45,225,C0730,56,Female,Boston,Debit Card,10%
T3604,10-04-2018,P009,Antibacterial Handwash,Hygiene,4,5,20,C3604,26,Male,Miami,Credit Card,0%
T0839,11-04-2018,P039,Nasal Spray,Medicine,4,8,32,C0839,40,Female,Miami,Debit Card,0%
T4715,12-04-2018,P047,Coconut Oil,Haircare,2,12,24,C4715,32,Male,Seattle,Credit Card,15%
T4998,12-04-2018,P045,Vitamin C Serum,Skincare,1,25,25,C4998,54,Female,Boston,Mobile Payment,0%
T3959,12-04-2018,P009,Antibacterial Handwash,Hygiene,2,5,10,C3959,23,Female,Denver,Cash,0%
T1528,12-04-2018,P006,Cough Drops,Medicine,2,2.5,5,C1528,47,Female,Boston,Debit Card,10%
T3199,13-04-2018,P043,Pain Relief Patch,Medicine,2,7,14,C3199,32,Female,New York,Debit Card,5%
T3873,13-04-2018,P022,Toothpaste,Hygiene,5,4,20,C3873,46,Male,Miami,Credit Card,5%
T1968,13-04-2018,P042,Green Tea Capsules,Supplement,3,10,30,C1968,24,Female,San Francisco,Credit Card,5%
T3328,14-04-2018,P049,Antifungal Powder,Medicine,4,10,40,C3328,51,Female,San Francisco,Mobile Payment,0%
T3352,15-04-2018,P034,Hair Growth Serum,Haircare,4,28,112,C3352,51,Male,Seattle,Credit Card,10%
T1395,15-04-2018,P003,Cold Syrup,Medicine,1,8,8,C1395,65,Female,Houston,Cash,10%
T3492,15-04-2018,P046,Sunblock Cream,Skincare,4,20,80,C3492,44,Male,Houston,Debit Card,15%
T0413,16-04-2018,P028,Omega-3 Capsules,Supplement,4,22,88,C0413,43,Female,Miami,Cash,10%
T1745,16-04-2018,P018,Moisturizing Lotion,Skincare,2,18,36,C1745,57,Male,Boston,Credit Card,0%
T3718,17-04-2018,P004,Anti-Allergy Cream,Skincare,2,25,50,C3718,46,Female,Boston,Debit Card,0%
T0228,18-04-2018,P036,Tea Tree Oil,Skincare,1,12,12,C0228,22,Male,Miami,Mobile Payment,10%
T0466,18-04-2018,P044,Joint Health Tablets,Supplement,1,32,32,C0466,24,Male,Denver,Debit Card,5%
T1563,18-04-2018,P032,Caffeine Pills,Supplement,5,5,25,C1563,42,Male,Chicago,Debit Card,5%
T1151,18-04-2018,P038,Liver Health Supplement,Supplement,5,20,100,C1151,20,Male,San Francisco,Debit Card,10%
T3602,18-04-2018,P005,Vitamin D3 Supplement,Supplement,1,12,12,C3602,32,Female,Miami,Credit Card,5%
T4741,18-04-2018,P043,Pain Relief Patch,Medicine,3,7,21,C4741,64,Male,Boston,Credit Card,0%
T1361,19-04-2018,P044,Joint Health Tablets,Supplement,2,32,64,C1361,65,Male,Houston,Debit Card,5%
T4649,19-04-2018,P048,Hydrocortisone Cream,Medicine,1,5,5,C4649,37,Female,Houston,Cash,5%
T3437,20-04-2018,P017,Anti-Dandruff Shampoo,Haircare,3,14,42,C3437,53,Female,Seattle,Debit Card,10%
T0059,20-04-2018,P013,Probiotic Supplement,Supplement,4,20,80,C0059,54,Female,Los Angeles,Cash,0%
T2125,22-04-2018,P031,Hydration Powder,Nutrition,1,7,7,C2125,64,Male,Seattle,Credit Card,10%
T3585,22-04-2018,P028,Omega-3 Capsules,Supplement,3,22,66,C3585,63,Female,Chicago,Mobile Payment,5%
T3335,24-04-2018,P034,Hair Growth Serum,Haircare,4,28,112,C3335,41,Male,Boston,Credit Card,10%
T2259,24-04-2018,P049,Antifungal Powder,Medicine,2,10,20,C2259,52,Male,Boston,Mobile Payment,0%
T4689,24-04-2018,P038,Liver Health Supplement,Supplement,3,20,60,C4689,35,Male,Los Angeles,Cash,0%
T1617,25-04-2018,P014,Calcium Tablets,Supplement,4,15,60,C1617,56,Male,Seattle,Mobile Payment,10%
T2728,25-04-2018,P003,Cold Syrup,Medicine,1,8,8,C2728,39,Female,San Francisco,Mobile Payment,15%
T1659,25-04-2018,P049,Antifungal Powder,Medicine,5,10,50,C1659,44,Female,New York,Mobile Payment,15%
T2922,25-04-2018,P030,Heart Health Supplement,Supplement,2,35,70,C2922,60,Male,San Francisco,Credit Card,5%
T3234,26-04-2018,P046,Sunblock Cream,Skincare,4,20,80,C3234,27,Male,San Francisco,Mobile Payment,0%
T2937,26-04-2018,P030,Heart Health Supplement,Supplement,3,35,105,C2937,65,Female,Denver,Mobile Payment,10%
T4125,26-04-2018,P026,Muscle Relaxant Cream,Medicine,3,25,75,C4125,36,Male,Houston,Cash,10%
